instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_Clear,weather_Light Snow,weather_Mist + Cloudy
1,2011-01-01,Springer,2011,1,0,6,Holiday,Mist + Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,False,False,True
2,2011-01-02,Springer,2011,1,0,0,Holiday,Mist + Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,False,False,True
3,2011-01-03,Springer,2011,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,True,False,False
4,2011-01-04,Springer,2011,1,0,2,Working Day,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,True,False,False
5,2011-01-05,Springer,2011,1,0,3,Working Day,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,True,False,False
6,2011-01-06,Springer,2011,1,0,4,Working Day,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,True,False,False
7,2011-01-07,Springer,2011,1,0,5,Working Day,Mist + Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,False,False,True
8,2011-01-08,Springer,2011,1,0,6,Holiday,Mist + Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,False,False,True
9,2011-01-09,Springer,2011,1,0,0,Holiday,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822,True,False,False
10,2011-01-10,Springer,2011,1,0,1,Working Day,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,True,False,False
11,2011-01-11,Springer,2011,1,0,2,Working Day,Mist + Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,False,False,True
12,2011-01-12,Springer,2011,1,0,3,Working Day,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,True,False,False
13,2011-01-13,Springer,2011,1,0,4,Working Day,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,True,False,False
14,2011-01-14,Springer,2011,1,0,5,Working Day,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,True,False,False
15,2011-01-15,Springer,2011,1,0,6,Holiday,Mist + Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,False,False,True
16,2011-01-16,Springer,2011,1,0,0,Holiday,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204,True,False,False
17,2011-01-17,Springer,2011,1,1,1,Holiday,Mist + Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,False,False,True
18,2011-01-18,Springer,2011,1,0,2,Working Day,Mist + Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,False,False,True
19,2011-01-19,Springer,2011,1,0,3,Working Day,Mist + Cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,False,False,True
20,2011-01-20,Springer,2011,1,0,4,Working Day,Mist + Cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,False,False,True
21,2011-01-21,Springer,2011,1,0,5,Working Day,Clear,0.1775,0.157833,0.457083,0.353242,75,1468,1543,True,False,False
22,2011-01-22,Springer,2011,1,0,6,Holiday,Clear,0.0591304,0.0790696,0.4,0.17197,93,888,981,True,False,False
